application_id,submission_date,full_name,emirate,nationality,family_size,dependents,employment_status,monthly_salary,support_type,urgency_level,amount_requested,processing_status,case_worker_id
UAE-2024-000001,2024-11-18,Applicant 1,dubai,Lebanese,2,2,Employed,10584,emergency_support,high,8706,Documents Required,CW1001
UAE-2024-000002,2025-08-11,Applicant 2,ajman,Indian,6,3,Unemployed,6468,both,critical,36299,Documents Required,CW1048
UAE-2024-000003,2025-04-16,Applicant 3,umm_al_quwain,Pakistani,1,0,Self-Employed,327,financial_assistance,critical,22494,Assessment,CW1031
UAE-2024-000004,2025-02-19,Applicant 4,dubai,Egyptian,5,2,Retired,11143,emergency_support,critical,21988,Assessment,CW1012
UAE-2024-000005,2025-02-13,Applicant 5,ajman,Pakistani,6,1,Unemployed,25832,financial_assistance,high,6049,Under Review,CW1018
UAE-2024-000006,2024-11-18,Applicant 6,umm_al_quwain,Indian,2,6,Retired,20261,career_development,medium,8761,Approved,CW1009
UAE-2024-000007,2025-03-01,Applicant 7,fujairah,Syrian,5,5,Self-Employed,19488,emergency_support,high,12169,Assessment,CW1010
UAE-2024-000008,2024-12-27,Applicant 8,fujairah,UAE,3,2,Unemployed,30380,financial_assistance,critical,19194,Submitted,CW1039
UAE-2024-000009,2025-06-29,Applicant 9,umm_al_quwain,UAE,4,4,Retired,31155,emergency_support,high,20171,Conditional Approval,CW1002
UAE-2024-000010,2025-02-25,Applicant 10,umm_al_quwain,Egyptian,5,6,Unemployed,4541,career_development,medium,46583,Declined,CW1023
UAE-2024-000011,2025-07-10,Applicant 11,ras_al_khaimah,Filipino,2,4,Retired,25140,career_development,critical,38587,Conditional Approval,CW1038
UAE-2024-000012,2024-12-22,Applicant 12,fujairah,Egyptian,8,1,Unemployed,27748,career_development,low,39595,Under Review,CW1006
UAE-2024-000013,2025-04-04,Applicant 13,abu_dhabi,UAE,5,5,Self-Employed,7111,financial_assistance,critical,25649,Documents Required,CW1018
UAE-2024-000014,2025-02-23,Applicant 14,abu_dhabi,UAE,3,1,Employed,12107,career_development,medium,43516,Conditional Approval,CW1027
UAE-2024-000015,2024-10-13,Applicant 15,ajman,Indian,8,5,Unemployed,7741,career_development,medium,22446,Declined,CW1050
UAE-2024-000016,2025-02-03,Applicant 16,sharjah,Syrian,1,0,Unemployed,31141,emergency_support,medium,33573,Declined,CW1040
UAE-2024-000017,2025-07-02,Applicant 17,umm_al_quwain,Pakistani,8,2,Self-Employed,29636,career_development,critical,16580,Conditional Approval,CW1004
UAE-2024-000018,2025-02-20,Applicant 18,abu_dhabi,Indian,7,5,Employed,1541,emergency_support,high,47375,Conditional Approval,CW1017
UAE-2024-000019,2025-05-17,Applicant 19,fujairah,Lebanese,3,1,Employed,9923,both,critical,30012,Assessment,CW1026
UAE-2024-000020,2025-05-27,Applicant 20,umm_al_quwain,Indian,3,5,Employed,9558,career_development,low,36003,Submitted,CW1019
UAE-2024-000021,2024-11-05,Applicant 21,umm_al_quwain,UAE,4,3,Self-Employed,24019,economic_enablement,high,17917,Conditional Approval,CW1044
UAE-2024-000022,2025-03-03,Applicant 22,dubai,Pakistani,8,4,Retired,27118,emergency_support,medium,38077,Submitted,CW1049
UAE-2024-000023,2025-08-02,Applicant 23,ajman,UAE,4,3,Unemployed,17742,economic_enablement,high,33098,Conditional Approval,CW1035
UAE-2024-000024,2025-04-09,Applicant 24,umm_al_quwain,Bangladeshi,5,5,Retired,9405,emergency_support,medium,47677,Submitted,CW1027
UAE-2024-000025,2024-11-20,Applicant 25,sharjah,Pakistani,5,5,Employed,22327,career_development,critical,25692,Approved,CW1006
UAE-2024-000026,2024-10-02,Applicant 26,ajman,Syrian,4,0,Unemployed,4630,both,low,35459,Approved,CW1020
UAE-2024-000027,2024-12-31,Applicant 27,dubai,Pakistani,8,0,Unemployed,29081,economic_enablement,low,36274,Approved,CW1029
UAE-2024-000028,2025-05-21,Applicant 28,sharjah,Pakistani,1,5,Unemployed,18740,economic_enablement,critical,14940,Approved,CW1046
UAE-2024-000029,2025-05-18,Applicant 29,abu_dhabi,Egyptian,1,5,Retired,19048,career_development,high,32725,Approved,CW1012
UAE-2024-000030,2025-02-14,Applicant 30,dubai,Syrian,5,6,Retired,251,economic_enablement,high,41696,Under Review,CW1040
UAE-2024-000031,2025-07-11,Applicant 31,sharjah,Syrian,7,0,Self-Employed,21468,career_development,high,14176,Declined,CW1013
UAE-2024-000032,2025-01-15,Applicant 32,ajman,Pakistani,8,6,Retired,11790,both,low,49337,Documents Required,CW1005
UAE-2024-000033,2024-10-08,Applicant 33,fujairah,UAE,2,2,Retired,23973,emergency_support,critical,8696,Documents Required,CW1017
UAE-2024-000034,2024-10-27,Applicant 34,abu_dhabi,Pakistani,8,3,Unemployed,6786,emergency_support,low,38639,Documents Required,CW1028
UAE-2024-000035,2024-10-19,Applicant 35,fujairah,Lebanese,2,6,Unemployed,23466,economic_enablement,critical,20156,Documents Required,CW1045
UAE-2024-000036,2025-09-14,Applicant 36,dubai,Syrian,5,1,Unemployed,14402,economic_enablement,high,18701,Documents Required,CW1031
